,hpo,label
0,hpo,label
1,HP:0011449,o
2,HP:0002169,o
3,HP:0001347,o
4,HP:0031826,o
5,HP:0100022,o
6,HP:0012638,o
7,HP:0000707,o
8,HP:0000118,o
9,HP:0000001,o
10,HP:0004305,o
11,HP:0011442,o
12,HP:0002690,o
13,HP:0002679,o
14,HP:0000929,o
15,HP:0000234,o
16,HP:0000152,o
17,HP:0009121,o
18,HP:0011842,o
19,HP:0000924,o
20,HP:0033127,o
21,HP:0000483,o
22,HP:0000539,o
23,HP:0012373,o
24,HP:0000478,o
25,HP:0100691,o
26,HP:0000481,o
27,HP:0004328,o
28,HP:0012372,o
29,HP:0030883,o
30,HP:0001384,o
31,HP:0003272,o
32,HP:0002644,o
33,HP:0011844,o
34,HP:0005262,o
35,HP:0001367,o
36,HP:0100491,o
37,HP:0002814,o
38,HP:0040064,o
39,HP:0010853,o
40,HP:0011186,o
41,HP:0011185,o
42,HP:0011182,o
43,HP:0025373,o
44,HP:0002353,o
45,HP:0030178,o
46,HP:0001311,o
47,HP:0011241,o
48,HP:0011244,o
49,HP:0009738,o
50,HP:0000377,o
51,HP:0000356,o
52,HP:0031703,o
53,HP:0000598,o
54,HP:0004003,o
55,HP:0004002,o
56,HP:0003071,o
57,HP:0005930,o
58,HP:0011314,o
59,HP:0003999,o
60,HP:0002818,o
61,HP:0040072,o
62,HP:0002973,o
63,HP:0002817,o
64,HP:0040070,o
65,HP:0002813,o
66,HP:0040068,o
67,HP:0003839,o
68,HP:0006505,o
69,HP:0000366,o
70,HP:0000271,o
71,HP:0030925,o
72,HP:0030919,o
73,HP:0030917,o
74,HP:0001197,o
75,HP:0031394,o
76,HP:0025540,o
77,HP:0011839,o
78,HP:0002843,o
79,HP:0004332,o
80,HP:0001881,o
81,HP:0001871,o
82,HP:0010987,o
83,HP:0032251,o
84,HP:0002715,o
85,HP:0040088,o
86,HP:0011893,o
87,HP:0001142,o
88,HP:0011526,o
89,HP:0000517,o
90,HP:0020222,o
91,HP:0010919,o
92,HP:0004339,o
93,HP:0033107,o
94,HP:0003112,o
95,HP:0004354,o
96,HP:0032180,o
97,HP:0001939,o
98,HP:0033790,o
99,HP:0006479,o
100,HP:0011061,o
101,HP:0000164,o
102,HP:0000163,o
103,HP:0031816,o
104,HP:0000153,o
105,HP:0031382,o
106,HP:0031381,o
107,HP:0031378,o
108,HP:0031377,o
109,HP:0011017,o
110,HP:0025354,o
111,HP:0031409,o
112,HP:0033796,o
113,HP:0010978,o
114,HP:0033033,o
115,HP:0030057,o
116,HP:0002960,o
117,HP:0500020,o
118,HP:0500015,o
119,HP:0001626,o
120,HP:0010848,o
121,HP:0010850,o
122,HP:0011198,o
123,HP:0004029,o
124,HP:0004027,o
125,HP:0009808,o
126,HP:0000940,o
127,HP:0008509,o
128,HP:0007495,o
129,HP:0011354,o
130,HP:0011121,o
131,HP:0000951,o
132,HP:0001574,o
133,HP:0009169,o
134,HP:0004219,o
135,HP:0004213,o
136,HP:0004207,o
137,HP:0001167,o
138,HP:0001155,o
139,HP:0011297,o
140,HP:0005918,o
141,HP:0009374,o
142,HP:0009768,o
143,HP:0001500,o
144,HP:0006009,o
145,HP:0005622,o
146,HP:0009844,o
147,HP:0009833,o
148,HP:0012827,o
149,HP:0012824,o
150,HP:0012823,o
151,HP:0032452,o
152,HP:0100669,o
153,HP:0011830,o
154,HP:0010585,o
155,HP:0032236,o
156,HP:0011991,o
157,HP:0001874,o
158,HP:0001911,o
159,HP:0010974,o
160,HP:0032309,o
161,HP:0005156,o
162,HP:0025579,o
163,HP:0005120,o
164,HP:0001627,o
165,HP:0030680,o
166,HP:0034333,o
167,HP:0004368,o
168,HP:0004352,o
169,HP:0010932,o
170,HP:0004364,o
171,HP:0500106,o
172,HP:0004421,o
173,HP:0032263,o
174,HP:0030972,o
175,HP:0011025,o
176,HP:4000141,o
177,HP:0001711,o
